# N1 = 66889
# N2 = 104723
# N  = 7004816747
# Nc = 100000
# Na = 1000
# Fc = 100000
# kB = 421.875
#
# run	success	duration[mus]
0	0	16698146	
1	1	4181738	
2	1	7085507	
3	0	16577083	
4	0	16710504	
5	1	8927565	
6	1	7615957	
7	1	264046	
8	1	15903165	
9	0	16576855	
10	1	15509626	
11	0	16564656	
12	1	3750606	
13	1	7134940	
14	1	78406	
15	1	13274515	
16	0	16700155	
17	1	3418479	
18	1	15817357	
19	1	139999	
20	1	11875647	
21	0	16569855	
22	1	11768017	
23	1	4645711	
24	0	16634884	
25	0	16601469	
26	1	1221733	
27	0	16629518	
28	1	28491	
29	1	8360720	
30	0	16614411	
31	1	8380178	
32	0	16577232	
33	0	16660175	
34	0	16640216	
35	1	16323259	
36	1	2743214	
37	1	1573825	
38	1	12135736	
39	1	7975419	
40	1	11834071	
41	1	1529738	
42	1	2126798	
43	0	16672248	
44	1	7675142	
45	0	16594757	
46	1	3360531	
47	0	16560059	
48	1	5366372	
49	0	16708341	
50	1	6043959	
51	1	3322975	
52	1	4226379	
53	1	10248713	
54	0	16555009	
55	1	9071303	
56	1	6542365	
57	1	417705	
58	0	16630670	
59	1	16424547	
60	1	8872507	
61	1	9876882	
62	0	16647437	
63	1	14492567	
64	0	16661315	
65	1	10525338	
66	0	16687754	
67	1	5933600	
68	0	16648173	
69	0	16632319	
70	0	16724844	
71	1	4662351	
72	1	13111410	
73	1	1697532	
74	0	16736001	
75	1	1418771	
76	1	6218210	
77	0	16650437	
78	1	13270589	
79	0	16719428	
80	0	16658140	
81	0	16643914	
82	0	16686820	
83	0	16665470	
84	1	6514299	
85	1	979027	
86	1	2349398	
87	1	13311233	
88	0	16770516	
89	0	16831578	
90	1	4409150	
91	1	381173	
92	0	16740128	
93	0	16802523	
94	1	6849698	
95	1	10368727	
96	1	1854118	
97	1	4012331	
98	0	16584371	
99	1	3188221	
100	1	9720482	
101	1	8802575	
102	0	16605638	
103	1	10769564	
104	1	13950151	
105	1	350149	
106	1	15796986	
107	1	15450373	
108	1	8238768	
109	1	14147535	
110	0	16573781	
111	1	14895135	
112	1	459766	
113	1	5620608	
114	1	2542926	
115	0	16574076	
116	1	2912892	
117	0	16634589	
118	0	16696413	
119	1	6162185	
120	0	16832973	
121	0	16662304	
122	1	5134631	
123	0	16705171	
124	0	16773676	
125	0	16683872	
126	0	16648626	
127	1	2567294	
128	0	16618061	
129	0	16692388	
130	1	12016106	
131	1	10766942	
132	1	2699410	
133	1	3128951	
134	0	16597312	
135	0	16643512	
136	1	8630598	
137	1	14530235	
138	1	2771853	
139	0	16614339	
140	0	16601630	
141	1	11917183	
142	1	7775974	
143	1	15863508	
144	1	7924697	
145	1	13951588	
146	1	4462765	
147	0	16639042	
148	0	16614890	
149	0	16615438	
150	1	6995407	
151	1	5492759	
152	1	15426236	
153	0	16587666	
154	0	16684316	
155	1	13017971	
156	1	11009181	
157	1	2252125	
158	0	16565353	
159	1	1458885	
160	1	52655	
161	1	8408351	
162	0	16585066	
163	1	3566561	
164	1	15257598	
165	0	16613139	
166	1	3117887	
167	1	6806876	
168	0	16659412	
169	0	16640805	
170	0	16574170	
171	1	949549	
172	0	16625681	
173	1	4149881	
174	1	8333655	
175	1	1537621	
176	1	3426492	
177	1	6685000	
178	1	13906852	
179	1	3682307	
180	0	16675044	
181	1	5788386	
182	0	16683759	
183	1	10615899	
184	1	7656961	
185	0	16752275	
186	1	10154730	
187	1	9208686	
188	1	1541920	
189	1	4067632	
190	0	16683072	
191	1	465109	
192	1	13210891	
193	1	10316235	
194	1	2659982	
195	0	16639796	
196	0	16601545	
197	1	8667282	
